t,wrist_pitch_servo,wrist_roll_servo,THUMB_servo,INDEX_servo,MIDDLE_servo,RING_servo,PINKY_servo
1771502073.8716502,75.0,105.0,0.0,0.0,0.0,0.0,0.0
1771502073.9016562,76.0,107.0,0.0,0.0,0.0,0.0,0.0
1771502073.9336627,78.0,109.0,0.0,0.0,0.0,0.0,0.0
1771502073.9623013,79.0,110.0,0.0,0.0,0.0,0.0,1.0
1771502073.9932988,80.0,111.0,0.0,0.0,0.0,0.0,1.0
1771502074.0233219,81.0,112.0,0.0,0.0,0.0,0.0,2.0
1771502074.0538442,82.0,113.0,0.0,0.0,0.0,1.0,2.0
1771502074.0861516,83.0,114.0,0.0,0.0,1.0,2.0,3.0
1771502074.117152,84.0,115.0,0.0,0.0,2.0,3.0,2.0
1771502074.1492562,85.0,115.0,0.0,0.0,4.0,4.0,3.0
1771502074.1664073,85.0,116.0,0.0,1.0,5.0,6.0,3.0
1771502074.1959887,86.0,117.0,0.0,2.0,6.0,7.0,4.0
1771502074.2271895,87.0,118.0,0.0,3.0,7.0,8.0,4.0
1771502074.2588184,87.0,118.0,0.0,4.0,8.0,10.0,5.0
1771502074.2918658,89.0,119.0,0.0,6.0,10.0,12.0,6.0
1771502074.321842,89.0,120.0,0.0,7.0,11.0,13.0,7.0
1771502074.3528824,89.0,120.0,0.0,7.0,11.0,14.0,7.0
1771502074.3966687,91.0,121.0,0.0,9.0,13.0,16.0,9.0
1771502074.4286706,91.0,120.0,0.0,9.0,13.0,17.0,10.0
1771502074.4817095,92.0,120.0,0.0,9.0,14.0,18.0,11.0
1771502074.5147095,92.0,120.0,0.0,10.0,14.0,19.0,11.0
1771502074.5407135,92.0,119.0,0.0,10.0,14.0,19.0,12.0
1771502074.5722287,92.0,119.0,0.0,10.0,15.0,20.0,13.0
1771502074.6032388,92.0,119.0,0.0,10.0,15.0,20.0,13.0
1771502074.634433,92.0,119.0,0.0,11.0,15.0,20.0,13.0
1771502074.6655564,92.0,119.0,0.0,11.0,15.0,20.0,13.0
1771502074.6951854,92.0,118.0,0.0,11.0,15.0,20.0,14.0
1771502074.7271864,92.0,118.0,0.0,11.0,15.0,20.0,14.0
1771502074.7723997,92.0,119.0,0.0,12.0,16.0,20.0,14.0
1771502074.8044086,92.0,119.0,0.0,12.0,15.0,20.0,14.0
1771502074.8364084,93.0,119.0,0.0,12.0,16.0,21.0,14.0
1771502074.8679593,93.0,119.0,0.0,13.0,16.0,21.0,14.0
1771502074.90896,93.0,119.0,0.0,13.0,16.0,21.0,14.0
1771502074.942964,93.0,119.0,0.0,13.0,16.0,21.0,14.0
1771502074.9775097,93.0,119.0,0.0,13.0,16.0,21.0,14.0
1771502075.0095105,93.0,119.0,0.0,14.0,16.0,21.0,14.0
1771502075.039577,93.0,119.0,0.0,13.0,15.0,20.0,14.0
1771502075.0708213,93.0,119.0,0.0,14.0,15.0,20.0,14.0
1771502075.1017804,93.0,119.0,0.0,14.0,15.0,21.0,15.0
1771502075.1347904,93.0,119.0,0.0,15.0,15.0,21.0,15.0
1771502075.167043,93.0,118.0,0.0,15.0,15.0,21.0,15.0
1771502075.1965637,93.0,118.0,0.0,15.0,14.0,20.0,15.0
1771502075.2285566,93.0,119.0,0.0,16.0,14.0,21.0,15.0
1771502075.2605858,93.0,119.0,0.0,15.0,14.0,20.0,14.0
1771502075.293205,93.0,119.0,0.0,15.0,14.0,20.0,14.0
1771502075.3417342,93.0,119.0,0.0,15.0,13.0,19.0,13.0
1771502075.3682404,93.0,119.0,0.0,14.0,13.0,18.0,12.0
1771502075.3992386,93.0,119.0,0.0,14.0,13.0,18.0,12.0
1771502075.429237,93.0,118.0,0.0,14.0,13.0,18.0,12.0
1771502075.462542,93.0,118.0,0.0,14.0,13.0,18.0,12.0
1771502075.4916103,92.0,118.0,0.0,14.0,13.0,18.0,12.0
1771502075.5236125,92.0,118.0,0.0,14.0,13.0,18.0,12.0
1771502075.5536268,92.0,118.0,0.0,14.0,13.0,19.0,12.0
1771502075.5989094,92.0,118.0,0.0,14.0,13.0,19.0,12.0
1771502075.6339028,93.0,118.0,0.0,14.0,13.0,19.0,11.0
1771502075.6654139,93.0,118.0,0.0,14.0,14.0,19.0,11.0
1771502075.6974154,93.0,118.0,0.0,14.0,13.0,19.0,11.0
1771502075.742151,93.0,118.0,0.0,14.0,14.0,19.0,11.0
1771502075.7744465,93.0,118.0,0.0,14.0,14.0,19.0,11.0
1771502075.8104465,93.0,118.0,0.0,14.0,14.0,19.0,11.0
1771502075.8385217,93.0,118.0,0.0,15.0,14.0,20.0,12.0
1771502075.8679972,93.0,117.0,0.0,14.0,14.0,20.0,12.0
1771502075.9000254,93.0,117.0,0.0,14.0,14.0,20.0,12.0
1771502075.9312527,93.0,117.0,0.0,14.0,14.0,20.0,12.0
1771502075.9628274,93.0,117.0,0.0,14.0,14.0,19.0,12.0
1771502075.9929526,93.0,117.0,0.0,14.0,14.0,19.0,11.0
1771502076.032976,92.0,117.0,0.0,13.0,13.0,19.0,11.0
1771502076.0614858,92.0,116.0,0.0,13.0,13.0,18.0,11.0
1771502076.0924866,92.0,116.0,0.0,13.0,13.0,18.0,11.0
1771502076.149702,92.0,116.0,0.0,12.0,13.0,17.0,10.0
1771502076.1812274,91.0,116.0,0.0,12.0,13.0,17.0,10.0
1771502076.2132246,91.0,116.0,0.0,12.0,13.0,17.0,10.0
1771502076.2452393,91.0,116.0,0.0,12.0,13.0,17.0,10.0
1771502076.2758453,92.0,116.0,0.0,13.0,13.0,17.0,10.0
1771502076.3068364,92.0,117.0,0.0,13.0,13.0,18.0,11.0
1771502076.3375018,92.0,117.0,0.0,13.0,14.0,18.0,11.0
1771502076.368534,92.0,117.0,0.0,13.0,14.0,18.0,11.0
1771502076.4011438,92.0,117.0,0.0,13.0,14.0,18.0,11.0
1771502076.4317148,92.0,117.0,0.0,13.0,14.0,18.0,11.0
1771502076.463847,91.0,117.0,0.0,13.0,14.0,17.0,10.0
1771502076.4966905,91.0,117.0,0.0,13.0,14.0,17.0,10.0
1771502076.5286894,91.0,117.0,0.0,13.0,14.0,17.0,10.0
1771502076.5582004,92.0,117.0,0.0,13.0,14.0,17.0,11.0
1771502076.6052065,92.0,118.0,0.0,14.0,14.0,18.0,11.0
1771502076.6382058,92.0,118.0,0.0,14.0,15.0,18.0,11.0
1771502076.6718714,92.0,118.0,0.0,14.0,15.0,18.0,11.0
1771502076.7008722,92.0,118.0,0.0,14.0,15.0,19.0,11.0
1771502076.7328715,92.0,117.0,0.0,14.0,15.0,19.0,12.0
1771502076.7634156,92.0,117.0,0.0,14.0,15.0,19.0,11.0
1771502076.797417,92.0,117.0,0.0,14.0,15.0,18.0,11.0
1771502076.831416,92.0,117.0,0.0,14.0,14.0,18.0,11.0
1771502076.863011,92.0,117.0,0.0,14.0,14.0,18.0,11.0
1771502076.8940132,91.0,117.0,0.0,13.0,14.0,17.0,11.0
1771502076.9250126,91.0,117.0,0.0,13.0,14.0,17.0,11.0
1771502076.957016,91.0,117.0,0.0,13.0,14.0,17.0,11.0
