t,wrist_pitch_servo,wrist_roll_servo,THUMB_servo,INDEX_servo,MIDDLE_servo,RING_servo,PINKY_servo
1771501680.742428,132.0,0.0,0.0,35.0,28.0,54.0,47.0
1771501680.7724352,130.0,180.0,0.0,43.0,36.0,67.0,53.0
1771501680.8034272,124.0,180.0,0.0,42.0,33.0,59.0,44.0
1771501680.8350074,119.0,180.0,0.0,31.0,24.0,47.0,37.0
1771501680.8670075,67.0,102.0,0.0,0.0,0.0,0.0,0.0
1771501680.9060137,81.0,111.0,0.0,0.0,5.0,0.0,0.0
1771501680.934531,94.0,130.0,0.0,20.0,25.0,35.0,10.0
1771501680.9655368,88.0,123.0,0.0,12.0,20.0,27.0,0.0
1771501680.997499,87.0,126.0,0.0,19.0,26.0,35.0,4.0
1771501681.0300398,92.0,129.0,0.0,30.0,34.0,45.0,10.0
1771501681.0610464,92.0,125.0,0.0,32.0,36.0,49.0,15.0
1771501681.097038,96.0,127.0,0.0,37.0,39.0,53.0,19.0
1771501681.127692,95.0,128.0,0.0,35.0,38.0,52.0,16.0
1771501681.1577904,94.0,126.0,0.0,33.0,36.0,47.0,12.0
1771501681.1902728,93.0,125.0,0.0,32.0,36.0,46.0,10.0
1771501681.2213032,92.0,122.0,0.0,31.0,35.0,45.0,11.0
1771501681.2518384,92.0,123.0,0.0,29.0,32.0,42.0,11.0
1771501681.2858343,90.0,123.0,0.0,27.0,31.0,42.0,12.0
1771501681.336969,92.0,130.0,0.0,29.0,30.0,43.0,14.0
1771501681.368039,95.0,131.0,0.0,31.0,34.0,50.0,19.0
1771501681.399048,92.0,123.0,0.0,28.0,34.0,51.0,20.0
1771501681.4306808,94.0,131.0,0.0,33.0,36.0,50.0,14.0
1771501681.462669,99.0,141.0,0.0,38.0,39.0,55.0,16.0
1771501681.49565,94.0,136.0,0.0,35.0,35.0,51.0,17.0
1771501681.5271676,94.0,132.0,0.0,31.0,34.0,51.0,19.0
1771501681.5571682,92.0,125.0,0.0,29.0,31.0,48.0,16.0
1771501681.58919,88.0,125.0,0.0,26.0,27.0,43.0,12.0
1771501681.6218708,93.0,124.0,0.0,30.0,32.0,50.0,16.0
1771501681.6544974,92.0,117.0,0.0,31.0,36.0,52.0,15.0
1771501681.685084,93.0,122.0,0.0,36.0,37.0,49.0,14.0
1771501681.7187572,87.0,123.0,0.0,29.0,29.0,38.0,9.0
1771501681.7672703,86.0,124.0,0.0,28.0,28.0,36.0,8.0
1771501681.797306,87.0,124.0,0.0,29.0,29.0,37.0,8.0
1771501681.829849,95.0,123.0,0.0,32.0,36.0,45.0,15.0
1771501681.860812,96.0,123.0,0.0,32.0,35.0,46.0,12.0
1771501681.8937454,96.0,124.0,0.0,32.0,36.0,49.0,14.0
1771501681.9272602,96.0,125.0,0.0,30.0,35.0,48.0,14.0
1771501681.9592655,97.0,127.0,0.0,31.0,36.0,50.0,18.0
1771501681.992735,96.0,125.0,0.0,29.0,36.0,50.0,18.0
1771501682.0237422,96.0,125.0,0.0,30.0,35.0,48.0,16.0
1771501682.0560348,95.0,130.0,0.0,30.0,34.0,47.0,13.0
1771501682.088032,99.0,130.0,0.0,34.0,40.0,56.0,23.0
1771501682.1446493,98.0,130.0,0.0,36.0,39.0,57.0,18.0
1771501682.1786582,105.0,141.0,0.0,40.0,44.0,63.0,19.0
1771501682.2311983,103.0,136.0,0.0,36.0,39.0,56.0,22.0
1771501682.2552114,102.0,136.0,0.0,36.0,41.0,57.0,18.0
1771501682.2866302,98.0,130.0,0.0,32.0,38.0,53.0,17.0
1771501682.3217034,99.0,134.0,0.0,34.0,37.0,49.0,13.0
1771501682.3501832,94.0,130.0,0.0,30.0,34.0,44.0,9.0
1771501682.3831851,95.0,130.0,0.0,30.0,33.0,42.0,8.0
1771501682.4131885,95.0,130.0,0.0,31.0,35.0,45.0,11.0
1771501682.444661,94.0,129.0,0.0,30.0,34.0,44.0,11.0
1771501682.476655,97.0,131.0,0.0,34.0,37.0,48.0,12.0
1771501682.5066543,100.0,133.0,0.0,35.0,39.0,52.0,13.0
1771501682.5382524,99.0,134.0,0.0,34.0,38.0,53.0,14.0
1771501682.569221,100.0,135.0,0.0,35.0,38.0,52.0,14.0
1771501682.6339204,98.0,129.0,0.0,35.0,37.0,51.0,18.0
