t,wrist_pitch_servo,wrist_roll_servo,THUMB_servo,INDEX_servo,MIDDLE_servo,RING_servo,PINKY_servo
1771502368.5275252,45.0,91.0,100.0,0.0,0.0,0.0,0.0
1771502368.5932598,47.0,89.0,100.0,0.0,0.0,0.0,0.0
1771502368.6182673,50.0,89.0,100.0,0.0,0.0,0.0,0.0
1771502368.64999,62.0,95.0,100.0,0.0,0.0,0.0,0.0
1771502368.6799953,71.0,96.0,89.0,0.0,0.0,0.0,0.0
1771502368.7109952,79.0,100.0,50.0,0.0,0.0,0.0,0.0
1771502368.741074,81.0,100.0,28.0,0.0,0.0,0.0,0.0
1771502368.77308,80.0,101.0,17.0,0.0,0.0,0.0,0.0
1771502368.8050797,80.0,104.0,10.0,0.0,0.0,0.0,0.0
1771502368.8361385,79.0,104.0,7.0,0.0,0.0,0.0,0.0
1771502368.8636718,79.0,105.0,4.0,0.0,0.0,0.0,0.0
1771502368.8972933,79.0,107.0,3.0,0.0,0.0,0.0,0.0
1771502368.9262733,78.0,108.0,2.0,0.0,0.0,0.0,0.0
1771502368.963815,78.0,109.0,1.0,0.0,0.0,0.0,0.0
1771502368.992778,79.0,111.0,1.0,0.0,0.0,0.0,0.0
1771502369.0407825,80.0,112.0,1.0,0.0,0.0,0.0,0.0
1771502369.0713675,82.0,114.0,1.0,0.0,0.0,0.0,0.0
1771502369.100907,82.0,115.0,0.0,0.0,0.0,0.0,0.0
1771502369.1311185,83.0,116.0,0.0,0.0,0.0,0.0,0.0
1771502369.1601398,85.0,117.0,0.0,1.0,0.0,0.0,0.0
1771502369.1927037,87.0,117.0,0.0,4.0,3.0,0.0,0.0
1771502369.2247114,88.0,118.0,0.0,7.0,6.0,0.0,0.0
1771502369.2542377,90.0,119.0,0.0,10.0,10.0,3.0,0.0
1771502369.2857618,90.0,119.0,0.0,10.0,11.0,5.0,0.0
1771502369.3168926,90.0,119.0,0.0,11.0,12.0,6.0,0.0
1771502369.3599272,89.0,119.0,0.0,10.0,10.0,4.0,0.0
1771502369.3935184,89.0,119.0,0.0,9.0,9.0,3.0,0.0
1771502369.4245172,89.0,118.0,0.0,8.0,8.0,1.0,0.0
1771502369.472083,89.0,119.0,0.0,8.0,8.0,1.0,0.0
1771502369.5051653,89.0,119.0,0.0,8.0,7.0,0.0,0.0
1771502369.5349164,90.0,120.0,0.0,8.0,7.0,0.0,0.0
1771502369.5662048,90.0,120.0,0.0,8.0,7.0,0.0,0.0
1771502369.5982687,90.0,121.0,0.0,8.0,7.0,0.0,0.0
1771502369.6292052,91.0,121.0,0.0,8.0,6.0,0.0,0.0
1771502369.659745,91.0,122.0,0.0,9.0,6.0,0.0,0.0
1771502369.6907294,92.0,123.0,0.0,9.0,6.0,0.0,0.0
1771502369.7222643,92.0,123.0,0.0,9.0,6.0,0.0,0.0
1771502369.763828,92.0,123.0,0.0,10.0,6.0,0.0,0.0
1771502369.7918057,92.0,123.0,0.0,10.0,6.0,0.0,0.0
1771502369.8238044,92.0,122.0,0.0,11.0,7.0,0.0,0.0
1771502369.8563445,92.0,122.0,0.0,12.0,8.0,2.0,0.0
1771502369.904379,93.0,122.0,0.0,14.0,10.0,4.0,1.0
1771502369.9394112,93.0,123.0,0.0,14.0,10.0,5.0,2.0
1771502369.97215,94.0,123.0,0.0,16.0,12.0,7.0,3.0
1771502370.003398,95.0,123.0,0.0,16.0,12.0,7.0,3.0
1771502370.0365486,95.0,124.0,0.0,17.0,13.0,8.0,3.0
1771502370.0681033,95.0,123.0,0.0,16.0,13.0,8.0,4.0
1771502370.100069,95.0,124.0,0.0,17.0,13.0,9.0,4.0
1771502370.132214,95.0,123.0,0.0,17.0,13.0,9.0,4.0
1771502370.1633523,95.0,123.0,0.0,17.0,13.0,10.0,4.0
1771502370.1953502,95.0,123.0,0.0,17.0,13.0,10.0,4.0
1771502370.2263584,95.0,123.0,0.0,17.0,13.0,10.0,4.0
1771502370.2578158,95.0,124.0,0.0,17.0,13.0,10.0,5.0
1771502370.2898173,95.0,124.0,0.0,17.0,13.0,10.0,4.0
1771502370.3358324,95.0,123.0,0.0,17.0,13.0,10.0,4.0
1771502370.368463,95.0,124.0,0.0,17.0,13.0,10.0,5.0
1771502370.399463,95.0,124.0,0.0,17.0,13.0,10.0,5.0
1771502370.428461,95.0,124.0,0.0,17.0,13.0,10.0,4.0
1771502370.4597878,95.0,124.0,0.0,17.0,13.0,10.0,5.0
